,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY
1991,0,26AUG62,37,0,12.0,14024.0,No,64600.0,Yes,z_F,<High School,Clerical,26,Private,15820,4,Minivan,yes,5697,4,No,2,9467,6.0,Highly Urban/ Urban
1992,0,01FEB65,34,0,7.0,18211.0,No,0.0,z_No,z_F,z_High School,Clerical,20,Private,6720,4,z_SUV,no,3050,2,No,3,1729,1.0,Highly Urban/ Urban
1995,0,15AUG74,25,2,12.0,47996.0,Yes,159776.0,z_No,M,z_High School,Clerical,5,Commercial,8800,7,Pickup,no,0,0,No,3,2912,9.0,Highly Urban/ Urban
2002,0,23DEC57,42,0,8.0,95166.0,No,306407.0,z_No,M,Bachelors,Professional,57,Commercial,21690,6,Van,yes,11742,3,No,6,3107,8.0,Highly Urban/ Urban
2005,0,13OCT43,56,0,13.0,40355.0,No,192566.0,z_No,M,z_High School,z_Blue Collar,10,Commercial,2690,6,Minivan,yes,0,0,No,0,159,1.0,z_Highly Rural/ Rural
2008,0,21MAR39,60,0,13.0,54710.0,No,190364.0,Yes,z_F,Masters,Lawyer,6,Private,17100,1,z_SUV,no,0,0,No,2,1200,7.0,Highly Urban/ Urban
2010,0,04NOV59,40,1,11.0,29310.0,No,118987.0,Yes,M,z_High School,Clerical,5,Commercial,9240,1,Pickup,no,0,0,Yes,1,920,2.0,Highly Urban/ Urban
2014,0,10NOV42,57,2,0.0,0.0,No,82024.0,Yes,z_F,Bachelors,Home Maker,14,Private,1500,6,z_SUV,no,8694,3,No,1,3235,5.0,Highly Urban/ Urban
2018,0,19MAR52,47,0,0.0,0.0,No,52929.0,Yes,z_F,Bachelors,Home Maker,52,Private,6430,1,z_SUV,no,8376,1,No,6,3027,12.0,Highly Urban/ Urban
2026,1,24OCT60,39,2,11.0,10666.0,No,0.0,Yes,z_F,z_High School,Student,10,Private,5600,1,z_SUV,no,0,0,No,2,3766,6.0,Highly Urban/ Urban
2028,1,21APR55,44,1,0.0,0.0,No,0.0,Yes,M,z_High School,Student,20,Commercial,8660,7,Pickup,yes,0,0,No,1,1493,1.0,Highly Urban/ Urban
2032,0,06JUN61,38,2,14.0,57684.0,Yes,189247.0,z_No,z_F,Bachelors,Professional,22,Private,5300,10,Sports Car,no,5892,2,No,0,8714,17.0,Highly Urban/ Urban
2035,0,11APR48,51,0,0.0,0.0,No,0.0,z_No,z_F,Bachelors,Home Maker,33,Private,4270,4,Sports Car,no,0,0,No,5,1488,9.0,Highly Urban/ Urban
2037,0,06MAY77,22,1,8.0,18632.0,Yes,0.0,z_No,z_F,z_High School,Clerical,21,Private,10800,10,z_SUV,no,0,0,No,3,6407,1.0,Highly Urban/ Urban
2040,0,22DEC61,38,3,16.0,6398.0,No,109751.0,Yes,z_F,Bachelors,Home Maker,39,Private,5840,1,Sports Car,no,6247,4,No,4,378,12.0,Highly Urban/ Urban
2041,0,23SEP58,41,0,8.0,54289.0,No,0.0,z_No,z_F,Bachelors,z_Blue Collar,45,Commercial,6960,8,z_SUV,no,10823,3,No,0,3424,14.0,Highly Urban/ Urban
2042,0,17MAY60,39,1,15.0,30804.0,No,159351.0,Yes,z_F,z_High School,Clerical,39,Private,13140,9,z_SUV,no,5101,3,No,6,3731,7.0,z_Highly Rural/ Rural
2044,0,27JUL35,64,0,10.0,37380.0,No,0.0,z_No,M,Masters,Lawyer,14,Private,11640,1,z_SUV,no,0,0,No,0,3504,15.0,Highly Urban/ Urban
2046,0,17FEB64,35,2,13.0,28777.0,No,116463.0,Yes,M,<High School,z_Blue Collar,37,Commercial,7880,1,Pickup,yes,2569,2,No,5,2531,1.0,Highly Urban/ Urban
2054,0,29OCT43,56,0,8.0,56111.0,No,113151.5,Yes,z_F,z_High School,Professional,61,Private,14180,4,z_SUV,no,3387,2,No,1,7042,10.0,Highly Urban/ Urban
2058,0,03NOV62,37,3,15.0,72019.0,Yes,0.0,z_No,z_F,Bachelors,Professional,46,Private,12400,1,z_SUV,no,1109,3,No,8,5492,1.0,Highly Urban/ Urban
2061,0,12DEC47,52,0,14.000000000000002,18282.0,No,0.0,Yes,z_F,z_High School,Student,61,Commercial,17500,6,z_SUV,no,0,0,No,0,2098,7.0,Highly Urban/ Urban
2062,0,29NOV57,42,0,11.0,71303.0,No,213841.0,z_No,z_F,Bachelors,z_Blue Collar,31,Commercial,12730,1,z_SUV,no,6984,2,No,2,2275,8.0,Highly Urban/ Urban
2063,0,01JUL33,66,0,8.0,20443.0,No,164510.0,Yes,M,<High School,z_Blue Collar,40,Private,1500,7,z_SUV,yes,3331,1,No,6,616,1.0,Highly Urban/ Urban
2065,1,25APR44,55,1,12.0,5821.0,No,0.0,Yes,z_F,<High School,Student,31,Commercial,11130,3,z_SUV,no,0,0,No,0,13277,7.0,z_Highly Rural/ Rural
2072,0,09DEC55,44,0,0.0,0.0,No,113151.5,Yes,z_F,z_High School,Home Maker,32,Private,14530,1,Minivan,no,8894,3,No,0,19745,12.0,Highly Urban/ Urban
2073,1,18NOV57,42,1,12.0,61618.0,No,211160.0,Yes,z_F,Bachelors,Professional,25,Private,13220,1,Minivan,no,0,0,No,4,5320,8.0,Highly Urban/ Urban
2075,0,30JUL47,52,0,10.0,43539.0,No,200883.0,Yes,z_F,Masters,Lawyer,43,Private,13290,10,z_SUV,no,9667,1,No,7,4312,16.0,Highly Urban/ Urban
2082,0,17MAY64,35,2,14.0,29250.0,No,159239.0,Yes,z_F,z_High School,z_Blue Collar,45,Commercial,9170,11,z_SUV,no,1881,1,No,8,4127,7.0,Highly Urban/ Urban
2084,0,01JAN64,35,0,8.0,20950.0,No,129612.0,z_No,z_F,z_High School,Clerical,38,Private,7960,7,Sports Car,no,5002,1,No,0,7939,1.0,Highly Urban/ Urban
2087,0,24MAY66,33,4,13.0,29161.0,No,127565.0,Yes,M,z_High School,Clerical,21,Commercial,24690,4,Panel Truck,no,0,0,Yes,0,5359,1.0,Highly Urban/ Urban
2091,0,04OCT67,32,2,13.0,34368.0,No,142365.0,Yes,z_F,<High School,z_Blue Collar,48,Private,7640,17,Sports Car,no,0,0,No,2,6879,1.0,Highly Urban/ Urban
2093,0,25OCT40,59,0,13.0,61159.0,No,208072.0,Yes,M,Masters,z_Blue Collar,37,Commercial,19210,6,Van,yes,45254,2,Yes,9,2052,13.0,Highly Urban/ Urban
2101,0,25JUL55,44,0,11.0,33056.0,No,171068.0,z_No,M,Bachelors,Clerical,51,Private,19120,3,Minivan,no,0,0,Yes,0,5818,1.0,Highly Urban/ Urban
2102,0,07NOV47,52,0,13.0,36332.0,No,0.0,z_No,M,z_High School,z_Blue Collar,42,Commercial,27710,1,Panel Truck,yes,0,0,Yes,6,4369,1.0,Highly Urban/ Urban
2105,0,02FEB52,47,0,10.0,38027.0,No,0.0,z_No,M,z_High School,Professional,40,Commercial,6300,7,Pickup,yes,34506,3,Yes,5,1691,1.0,Highly Urban/ Urban
2106,0,24JUN64,35,2,0.0,0.0,No,0.0,Yes,z_F,Bachelors,Student,5,Commercial,8920,6,z_SUV,no,6031,2,No,3,13491,5.0,Highly Urban/ Urban
2107,0,10AUG69,30,4,0.0,0.0,Yes,113151.5,z_No,M,Bachelors,Student,32,Commercial,5080,7,Pickup,yes,7784,1,No,2,3274,6.0,Highly Urban/ Urban
2110,0,08AUG62,37,0,11.0,23338.0,No,152954.0,Yes,z_F,<High School,z_Blue Collar,24,Private,7530,7,Sports Car,no,6566,2,No,0,39687,5.0,Highly Urban/ Urban
2112,0,21DEC66,33,1,12.0,13847.0,No,129852.0,Yes,z_F,z_High School,Clerical,44,Private,6080,6,z_SUV,no,2321,3,No,0,3559,10.0,Highly Urban/ Urban
2113,0,07APR64,35,3,15.0,25647.0,No,155005.0,Yes,M,z_High School,Clerical,36,Private,10710,1,Pickup,yes,0,0,No,2,7123,6.0,Highly Urban/ Urban
2117,0,13AUG36,63,0,13.0,74789.0,No,0.0,z_No,z_F,Masters,Lawyer,37,Private,15280,6,z_SUV,no,2487,1,No,8,32614,19.0,Highly Urban/ Urban
2119,0,29NOV52,47,0,12.999999999999998,65075.0,No,0.0,z_No,z_F,Bachelors,Professional,33,Private,12610,1,z_SUV,no,5219,3,No,5,7135,11.0,Highly Urban/ Urban
2120,2,18NOV43,56,2,0.0,0.0,Yes,129145.0,z_No,z_F,z_High School,Home Maker,42,Private,7100,1,z_SUV,no,0,0,No,6,6524,9.0,Highly Urban/ Urban
2125,0,13SEP62,37,0,12.0,64563.0,No,225995.0,Yes,M,Masters,Professional,24,Commercial,7960,3,Pickup,no,0,0,Yes,0,1290,12.0,Highly Urban/ Urban
2127,0,15JUL57,42,0,10.0,21670.0,No,0.0,z_No,z_F,<High School,Home Maker,27,Private,9800,6,z_SUV,no,5229,2,No,6,3633,1.0,Highly Urban/ Urban
2129,0,16FEB50,49,0,13.0,32589.0,No,169057.0,Yes,z_F,z_High School,Professional,56,Private,17380,6,z_SUV,no,0,0,No,0,4266,4.0,Highly Urban/ Urban
2130,1,08DEC60,39,2,0.0,0.0,Yes,0.0,z_No,z_F,<High School,Home Maker,60,Private,5300,4,Sports Car,no,0,0,No,0,1875,4.0,Highly Urban/ Urban
2132,0,04MAY72,27,1,9.0,8408.0,Yes,54880.0,z_No,M,<High School,Clerical,45,Private,19900,4,Van,no,0,0,No,3,4739,6.0,Highly Urban/ Urban
2136,0,13OCT40,59,1,11.0,65456.0,Yes,0.0,z_No,M,Bachelors,Professional,35,Private,17890,1,Van,no,0,0,No,0,20509,7.0,Highly Urban/ Urban
2144,0,03AUG53,46,0,11.0,71667.0,No,0.0,z_No,z_F,Bachelors,Professional,53,Private,15340,1,z_SUV,no,0,0,No,0,2786,12.0,Highly Urban/ Urban
2146,1,20DEC61,38,4,16.0,74246.0,No,237469.0,Yes,z_F,Bachelors,z_Blue Collar,40,Commercial,11940,10,Minivan,no,5326,2,No,2,313,14.0,Highly Urban/ Urban
2153,0,25FEB65,34,3,14.0,113195.0,Yes,296393.0,z_No,z_F,PhD,Lawyer,57,Private,4900,10,Sports Car,no,0,0,No,0,4975,16.0,Highly Urban/ Urban
2155,0,01JUN45,54,0,14.0,80227.0,No,247045.0,Yes,z_F,Masters,Professional,23,Private,14920,1,z_SUV,no,0,0,No,2,9540,11.0,Highly Urban/ Urban
2157,2,20FEB55,44,3,0.0,12393.16305732484,No,132038.0,Yes,z_F,z_High School,Home Maker,39,Private,5900,6,z_SUV,no,0,0,Yes,3,1957,1.0,Highly Urban/ Urban
2161,0,25JAN59,40,0,11.0,53899.0,No,113151.5,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,14080,7,z_SUV,no,0,0,Yes,1,3261,1.0,Highly Urban/ Urban
2163,0,28MAY61,38,0,10.0,26006.0,No,0.0,z_No,M,z_High School,Clerical,42,Commercial,5300,1,Pickup,no,8342,1,No,0,2855,8.0,Highly Urban/ Urban
2166,0,18AUG66,33,2,8.25,30863.0,Yes,97212.0,z_No,M,<High School,z_Blue Collar,39,Commercial,4900,10,Pickup,yes,0,0,No,1,7088,6.0,z_Highly Rural/ Rural
2182,1,02AUG55,44,1,9.0,20638.0,Yes,0.0,z_No,z_F,<High School,Clerical,19,Private,3560,6,z_SUV,no,0,0,No,0,3369,7.0,Highly Urban/ Urban
2185,0,16MAY60,39,2,7.0,9968.0,Yes,0.0,z_No,z_F,Bachelors,Student,44,Private,5500,4,z_SUV,no,0,0,No,4,5816,10.0,z_Highly Rural/ Rural
2203,0,27JUN59,40,0,9.0,25505.0,No,0.0,z_No,z_F,z_High School,z_Blue Collar,40,Commercial,17330,1,z_SUV,no,0,0,No,1,5493,10.0,Highly Urban/ Urban
2205,1,26DEC58,41,2,15.0,30324.0,Yes,0.0,z_No,z_F,<High School,z_Blue Collar,27,Private,11590,1,z_SUV,no,0,0,No,5,3000,6.0,Highly Urban/ Urban
2208,1,17MAY57,42,1,11.0,4480.0,Yes,0.0,z_No,z_F,z_High School,Home Maker,50,Private,1950,1,z_SUV,no,30089,1,Yes,4,3044,1.0,Highly Urban/ Urban
2215,0,03APR45,54,0,13.0,33791.0,No,171275.0,Yes,M,<High School,Clerical,63,Private,9730,1,Pickup,yes,41917,2,Yes,5,4147,1.0,Highly Urban/ Urban
2220,0,20APR49,50,0,13.0,63799.0,No,0.0,z_No,M,<High School,z_Blue Collar,43,Private,16050,1,Minivan,yes,3754,1,No,3,5459,1.0,Highly Urban/ Urban
2221,0,04SEP58,41,0,10.25,16108.0,No,0.0,z_No,z_F,Bachelors,Student,34,Commercial,25010,6,z_SUV,no,39315,1,Yes,0,6123,9.0,Highly Urban/ Urban
2223,0,02DEC55,44,0,12.0,77104.0,No,0.0,z_No,z_F,Masters,Manager,33,Private,27330,6,Sports Car,no,0,0,No,0,3925,14.0,Highly Urban/ Urban
2227,0,12MAR53,46,0,10.0,35678.0,No,113151.5,z_No,z_F,Bachelors,Student,73,Commercial,12610,14,z_SUV,no,0,0,No,0,3570,8.0,Highly Urban/ Urban
2228,0,26DEC41,58,0,12.0,100769.0,No,0.0,z_No,z_F,Bachelors,Professional,31,Private,11580,6,z_SUV,no,6712,1,No,4,4373,12.0,Highly Urban/ Urban
2231,0,03DEC47,52,0,11.0,51605.0,No,0.0,z_No,M,<High School,z_Blue Collar,41,Private,15100,4,Minivan,yes,30605,1,Yes,5,2950,7.0,Highly Urban/ Urban
2233,0,15SEP60,39,1,13.0,77889.0,No,217053.0,Yes,z_F,Bachelors,z_Blue Collar,44,Commercial,9290,6,z_SUV,no,0,0,No,0,706,10.0,Highly Urban/ Urban
2236,0,28APR57,42,0,12.0,31093.0,No,159141.0,Yes,z_F,<High School,Clerical,9,Private,13550,10,Sports Car,no,5029,3,No,2,16798,5.0,Highly Urban/ Urban
2240,0,18SEP40,59,0,13.0,63969.0,No,187263.0,z_No,z_F,z_High School,z_Blue Collar,42,Commercial,16210,4,Pickup,no,4733,3,No,11,5275,1.0,Highly Urban/ Urban
2241,4,06FEB54,45,5,0.0,0.0,Yes,0.0,z_No,z_F,<High School,Student,38,Private,7920,6,Sports Car,no,5288,2,No,3,5641,7.0,z_Highly Rural/ Rural
2245,0,13MAY58,41,0,13.0,39645.0,No,150503.0,Yes,z_F,z_High School,Clerical,48,Private,20800,14,Sports Car,no,0,0,No,0,1338,5.0,Highly Urban/ Urban
2256,1,22JAN39,60,2,15.0,151225.0,No,416062.0,Yes,z_F,PhD,Doctor,46,Private,10560,6,Sports Car,no,0,0,No,3,2907,13.0,Highly Urban/ Urban
2259,0,23OCT64,35,3,12.0,20986.0,Yes,0.0,z_No,z_F,z_High School,z_Blue Collar,37,Commercial,7100,11,Minivan,no,0,0,No,2,2934,7.0,Highly Urban/ Urban
2262,2,30NOV62,37,2,9.0,69434.0,No,230609.0,Yes,M,Bachelors,z_Blue Collar,49,Private,3860,4,Minivan,yes,3367,2,No,0,5118,7.0,Highly Urban/ Urban
2272,1,08APR57,42,3,11.0,59800.0,Yes,0.0,z_No,M,z_High School,Clerical,37,Private,11680,3,Pickup,yes,6914,3,No,5,5039,1.0,Highly Urban/ Urban
2275,0,24SEP39,60,2,15.0,3005.0,Yes,125809.0,z_No,z_F,z_High School,Home Maker,5,Private,11640,17,z_SUV,no,0,0,Yes,0,2166,1.0,Highly Urban/ Urban
2278,0,10JUL69,30,1,0.0,0.0,Yes,0.0,z_No,M,Bachelors,Student,46,Commercial,4500,4,Pickup,no,0,0,Yes,1,707,5.0,Highly Urban/ Urban
2280,0,27AUG49,50,0,13.0,68194.0,No,0.0,z_No,z_F,Bachelors,z_Blue Collar,69,Commercial,13920,4,z_SUV,no,3800,2,No,2,774,10.0,Highly Urban/ Urban
2281,1,24MAY62,37,3,13.0,91450.0,No,284853.0,Yes,M,Bachelors,Professional,47,Private,10650,1,Pickup,yes,27439,2,Yes,3,6332,1.0,Highly Urban/ Urban
2285,0,18APR47,52,0,11.0,56582.0,No,0.0,z_No,z_F,<High School,Clerical,47,Private,21460,13,z_SUV,no,1606,2,No,1,3554,6.0,Highly Urban/ Urban
2289,1,14APR58,41,1,11.0,63989.0,No,212477.0,Yes,z_F,Bachelors,Manager,41,Private,5600,1,z_SUV,no,37404,2,No,0,3388,11.0,Highly Urban/ Urban
2293,2,16AUG62,37,2,13.0,141969.0,Yes,0.0,z_No,z_F,PhD,Manager,50,Private,19400,3,z_SUV,no,0,0,No,3,5146,16.0,Highly Urban/ Urban
2295,0,18OCT69,30,0,0.0,0.0,No,0.0,z_No,M,z_High School,Student,25,Commercial,4500,1,Pickup,yes,2409,3,No,3,2668,9.0,Highly Urban/ Urban
2302,0,07APR48,51,0,14.000000000000002,175219.0,No,477999.0,Yes,z_F,Masters,Manager,22,Private,6600,8,z_SUV,no,0,0,No,0,5349,15.0,Highly Urban/ Urban
2303,0,26FEB63,36,2,9.0,51969.0,No,221596.0,Yes,M,Bachelors,Clerical,55,Private,1500,16,Minivan,yes,3488,4,No,0,2532,7.0,Highly Urban/ Urban
2304,0,24JUL40,59,0,10.0,6262.51497005988,No,0.0,Yes,z_F,z_High School,Student,34,Commercial,11600,6,Minivan,no,0,0,No,0,45191,1.0,Highly Urban/ Urban
2308,0,16AUG46,53,1,13.25,31205.0,No,170358.0,Yes,z_F,z_High School,Clerical,27,Private,12080,1,Sports Car,no,0,0,No,0,5667,6.0,Highly Urban/ Urban
2310,0,06APR63,36,0,0.0,0.0,No,0.0,z_No,z_F,<High School,Student,35,Commercial,13440,10,Pickup,no,5093,2,No,8,5836,1.0,Highly Urban/ Urban
2311,0,06OCT53,46,0,11.0,68126.0,No,214584.0,Yes,z_F,Bachelors,Professional,52,Private,12910,1,z_SUV,no,0,0,Yes,3,3036,6.0,Highly Urban/ Urban
2315,0,18JUL73,26,3,0.0,0.0,No,50964.0,Yes,z_F,Bachelors,Home Maker,42,Private,4100,1,z_SUV,no,2621,2,No,6,3110,8.0,Highly Urban/ Urban
2317,3,11MAR59,40,3,12.0,47456.0,No,165012.0,Yes,M,z_High School,z_Blue Collar,36,Commercial,25920,1,Panel Truck,no,3402,1,No,0,1453,5.0,Highly Urban/ Urban
2320,0,13MAY67,32,2,12.0,39144.0,Yes,0.0,z_No,z_F,<High School,z_Blue Collar,34,Private,5410,4,z_SUV,no,23418,3,Yes,5,1900,1.0,Highly Urban/ Urban
2333,0,16MAR60,39,3,16.0,22626.0,No,60718.0,Yes,z_F,<High School,z_Blue Collar,46,Commercial,19950,1,Pickup,no,6937,1,No,7,5443,7.0,Highly Urban/ Urban
2334,1,11JUN56,43,1,8.0,199866.0,Yes,0.0,z_No,M,Masters,z_Blue Collar,33,Commercial,25510,6,Panel Truck,yes,0,0,No,1,4847,15.0,Highly Urban/ Urban
2339,1,14APR61,38,1,6.0,33667.89347536618,No,113408.0,Yes,z_F,<High School,Clerical,52,Private,7340,7,z_SUV,no,0,0,No,0,773,1.0,Highly Urban/ Urban
2347,1,02AUG65,34,4,14.0,58991.0,No,162309.0,Yes,M,z_High School,z_Blue Collar,61,Commercial,5490,13,Pickup,no,1423,1,No,0,7485,7.0,Highly Urban/ Urban
2351,0,02APR48,51,0,7.000000000000001,141546.0,No,351285.0,z_No,M,PhD,Manager,18,Commercial,29330,4,Panel Truck,yes,1184,2,No,4,1347,7.0,Highly Urban/ Urban
2353,0,27JAN64,35,2,8.0,47797.0,Yes,0.0,z_No,z_F,Bachelors,Professional,23,Private,1500,6,z_SUV,no,41303,2,Yes,4,3034,6.0,Highly Urban/ Urban
2354,0,14JUL56,43,0,10.75,49021.0,No,177127.0,z_No,M,z_High School,Professional,49,Commercial,10700,1,Pickup,no,0,0,Yes,2,4271,1.0,Highly Urban/ Urban
2362,1,26AUG46,53,1,11.0,12824.0,Yes,0.0,z_No,z_F,z_High School,Student,48,Commercial,16720,6,z_SUV,no,9851,3,No,8,6685,10.0,Highly Urban/ Urban
2367,0,01APR45,54,0,0.0,0.0,No,111556.0,z_No,M,Bachelors,Home Maker,26,Commercial,11020,1,Pickup,yes,0,0,Yes,1,1037,7.0,Highly Urban/ Urban
2369,0,24DEC62,37,2,12.0,69546.0,No,186300.0,Yes,z_F,z_High School,z_Blue Collar,33,Commercial,12050,1,Sports Car,no,5106,2,No,1,6386,1.0,Highly Urban/ Urban
2370,0,05JUL63,36,0,11.0,33447.0,No,0.0,z_No,M,<High School,Clerical,42,Private,22070,7,Van,yes,0,0,No,0,1990,1.0,Highly Urban/ Urban
2371,0,15MAR45,54,0,12.0,27354.0,No,0.0,z_No,z_F,Bachelors,z_Blue Collar,19,Commercial,9640,1,z_SUV,no,0,0,No,2,6208,9.0,Highly Urban/ Urban
2376,0,18APR42,57,0,8.0,81767.0,No,308350.0,Yes,z_F,z_High School,z_Blue Collar,30,Commercial,19820,1,z_SUV,no,0,0,No,0,19352,7.0,Highly Urban/ Urban
2378,0,23OCT52,47,0,14.0,19779.0,No,96107.0,z_No,M,<High School,z_Blue Collar,50,Commercial,25250,4,Panel Truck,yes,0,0,No,2,4903,1.0,z_Highly Rural/ Rural
2384,0,12OCT52,47,0,9.0,72030.66344778254,No,149582.0,Yes,M,<High School,z_Blue Collar,44,Private,5430,3,Pickup,yes,0,0,No,0,2589,1.0,Highly Urban/ Urban
2392,0,19SEP63,36,0,9.0,60847.0,No,211273.0,z_No,z_F,Bachelors,z_Blue Collar,31,Private,8560,4,z_SUV,no,6295,3,No,5,4296,3.0,Highly Urban/ Urban
2393,0,24SEP60,39,0,11.0,57744.0,No,213239.0,Yes,z_F,z_High School,z_Blue Collar,45,Commercial,11170,1,z_SUV,no,0,0,No,3,2777,8.0,Highly Urban/ Urban
2394,0,07AUG47,52,0,10.0,5.0,No,0.0,z_No,M,Bachelors,Student,38,Commercial,6700,1,Pickup,yes,4824,3,No,0,4298,11.0,Highly Urban/ Urban
2397,1,09FEB42,57,2,15.0,79053.0,No,113151.5,Yes,z_F,Masters,Lawyer,57,Private,15110,7,Sports Car,no,3795,3,No,6,2536,12.0,Highly Urban/ Urban
2398,0,20JUL58,41,3,12.0,48762.0,No,176946.0,Yes,z_F,z_High School,Clerical,26,Private,28090,1,Minivan,no,3996,2,No,4,1009,12.0,Highly Urban/ Urban
2399,0,22DEC59,40,0,4.0,102052.0,No,237341.0,z_No,M,PhD,Manager,21,Private,7020,6,Pickup,yes,0,0,No,1,5723,16.0,Highly Urban/ Urban
2401,2,21JUN54,45,2,10.0,71119.0,Yes,0.0,z_No,z_F,Bachelors,Clerical,43,Private,15600,1,Minivan,no,3534,3,No,5,2446,4.0,Highly Urban/ Urban
2404,0,03DEC47,52,0,12.0,146881.0,No,396556.0,Yes,M,PhD,Manager,70,Commercial,19920,1,Van,no,0,0,No,0,338,11.0,Highly Urban/ Urban
2407,0,15SEP48,51,0,15.0,57410.0,No,231626.0,Yes,z_F,Bachelors,Professional,34,Private,12340,13,z_SUV,no,33089,3,No,3,2257,4.0,Highly Urban/ Urban
2410,0,21MAY58,41,0,5.0,53293.0,No,0.0,z_No,z_F,z_High School,z_Blue Collar,46,Commercial,6830,6,z_SUV,no,0,0,No,0,2774,1.0,Highly Urban/ Urban
2416,0,24JUL73,26,2,13.0,989.0,No,0.0,Yes,z_F,<High School,Student,24,Private,4200,10,z_SUV,no,25081,2,Yes,3,3997,1.0,Highly Urban/ Urban
2417,0,19JAN57,42,0,10.5,7804.0,No,0.0,z_No,z_F,z_High School,Student,25,Private,6480,1,z_SUV,no,4400,1,No,2,8496,8.0,Highly Urban/ Urban
2430,2,11AUG58,41,4,0.0,0.0,Yes,0.0,z_No,z_F,Masters,Home Maker,53,Private,1500,6,Sports Car,no,1433,2,No,5,292,7.0,Highly Urban/ Urban
2434,1,09JUL48,51,1,8.0,72030.66344778254,No,253662.0,Yes,M,z_High School,z_Blue Collar,5,Commercial,12430,1,Minivan,yes,9000,1,No,0,6431,11.0,Highly Urban/ Urban
2440,2,11OCT61,38,2,0.0,0.0,No,0.0,Yes,M,z_High School,Student,22,Commercial,5300,4,Pickup,yes,0,0,No,8,9388,1.0,Highly Urban/ Urban
2441,0,01DEC47,52,0,14.000000000000002,37098.0,No,113151.5,z_No,M,Masters,z_Blue Collar,24,Commercial,10310,7,Pickup,yes,9736,3,No,2,785,19.0,Highly Urban/ Urban
2443,0,26OCT68,31,0,5.0,11425.0,No,0.0,z_No,z_F,<High School,Clerical,40,Private,4780,3,z_SUV,no,2168,2,No,2,4229,6.0,Highly Urban/ Urban
2452,0,09JUN53,46,0,10.0,42621.0,No,0.0,z_No,z_F,z_High School,Clerical,45,Private,10360,4,z_SUV,no,7333,1,Yes,0,5120,1.0,Highly Urban/ Urban
2455,3,12AUG59,40,4,10.0,147647.0,Yes,385798.0,z_No,M,PhD,Professional,12,Commercial,28870,3,Panel Truck,yes,1449,2,No,3,6767,25.0,Highly Urban/ Urban
2460,0,12OCT70,29,3,13.0,24365.0,Yes,0.0,z_No,z_F,z_High School,Student,9,Commercial,6840,7,z_SUV,no,36744,1,Yes,2,6464,1.0,Highly Urban/ Urban
2464,2,12DEC55,44,3,12.0,53073.0,Yes,213525.0,z_No,z_F,Masters,Lawyer,39,Private,23100,10,Pickup,no,5328,4,No,5,6515,13.0,Highly Urban/ Urban
2476,0,12JUN64,35,0,10.0,71379.0,No,0.0,z_No,M,Bachelors,z_Blue Collar,34,Commercial,22010,10,Van,yes,31039,2,Yes,3,3840,9.0,Highly Urban/ Urban
2477,0,22AUG50,49,0,13.0,37414.0,No,185993.0,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,10260,3,z_SUV,no,7105,2,No,9,2527,1.0,Highly Urban/ Urban
2479,0,18MAY68,31,1,9.0,83316.0,Yes,239711.0,z_No,z_F,z_High School,Professional,12,Commercial,37720,6,Panel Truck,no,0,0,No,5,19970,1.0,Highly Urban/ Urban
2486,1,18JAN56,43,2,12.0,83803.0,Yes,285833.0,z_No,z_F,z_High School,z_Blue Collar,31,Commercial,19050,7,z_SUV,no,1670,2,No,2,6879,7.0,z_Highly Rural/ Rural
2491,0,09SEP62,37,0,13.0,33667.89347536618,No,143167.0,Yes,z_F,z_High School,Clerical,36,Private,7550,6,z_SUV,no,0,0,Yes,0,1499,1.0,Highly Urban/ Urban
2494,0,12JAN48,51,0,7.000000000000001,26114.0,No,0.0,z_No,z_F,Masters,Lawyer,36,Private,9780,6,Minivan,no,1867,2,No,0,3291,8.0,Highly Urban/ Urban
2497,1,03SEP55,44,2,11.0,63215.0,No,202136.0,Yes,z_F,Bachelors,Professional,9,Private,12930,6,z_SUV,no,7746,1,No,5,6170,10.0,Highly Urban/ Urban
2498,0,15FEB57,42,3,16.0,35586.0,No,125317.0,Yes,M,z_High School,Clerical,29,Commercial,5060,10,Pickup,no,24208,1,Yes,5,4236,1.0,Highly Urban/ Urban
2499,0,14AUG72,27,3,11.0,14461.0,No,108046.0,Yes,z_F,z_High School,Clerical,30,Private,9990,1,z_SUV,no,0,0,Yes,2,8107,1.0,Highly Urban/ Urban
2508,0,14JUL55,44,3,14.999999999999998,88336.59451219512,No,155178.0,Yes,z_F,Masters,Lawyer,39,Private,15270,10,Minivan,no,0,0,No,0,6111,16.0,Highly Urban/ Urban
2510,1,14SEP62,37,3,6.0,29251.0,Yes,113151.5,z_No,z_F,<High School,Clerical,37,Private,22300,12,Minivan,no,0,0,No,0,3514,5.0,Highly Urban/ Urban
2513,1,18JUL39,60,1,7.0,102339.0,Yes,0.0,z_No,z_F,PhD,z_Blue Collar,9,Commercial,27420,10,Van,no,0,0,No,8,5342,11.0,Highly Urban/ Urban
